Label,Message
ham,oh how abt 2 days before Christmas
info,"Welcome to OVATION HOLD R.No. 184, 114, 395, 378 Ch.In 2014-10-21 3:53 Ch.out 2014-11-01 12:00."
info,Thank you for using your ICICI bank CREDITcard ending 5253 for Rs. 2520.00 in ALIKE at Snapdeal on 2013-05-31 21:35
ham,schedule a meeting with the entire team in the office tomorrow
ham,Tommy is my brother
spam,OTP is 817453 for the txn of INR 8262.00 at SPICE JET on your SBI bank Debit card ending with 1385. Valid till 20:32:54. Do not share the OTP with anyone for security reasons
ham,the meeting is scheduled by john
spam,"Dear customer, We wish you a Merry Christmas. Thanks for being a Meru customer."
spam,Delivered: Your package withPawzone Red 1.25 inch Dog Collarwas successfully delivered. More info at http://amazon.com/cBfWh1e
info,The PNR for your Air India Flt 7I115 for PGH-BDQ on 2014-06-25 at 4:18 hrs  is PQPG4H. Tip: Check PNR status and book using MakeMyTrip App!. Thank you.
info,Bimal Auto Agency : Service of your car KA52C8378 is due in 72 days on 2015-01-28. Please contact us at 9411881245 to book a service.
info,Appointment with Dr Clayton in Pune on 2011-08-09 at 12:16 is confirmed. For queries call 1800 8126 6547. Your appt. might get delayed in case the doctor is attending an emergency.
info,Maha Veer Auto Agency : Service of your car KA88N4761 is due in 56 days on 2013-12-06. Please contact us at 9484286846 to book a service.
spam,"Dear AirAsia Customer, flight 5Q658 from RJA shall be boarding from gate 24C. Boarding gate closes26 mins prior to the departure time."
info,"Dear Guest, Thanks for choosing Forlini's Restaurant. Order ID 4117. Delivery by 2012-09-15 10:33. Enjoy 22% discount on your next purchase. Code OA586C. T&C."
ham,I will indeed! What time?
info,"Dear Guest, Thanks for choosing 2nd Avenue Deli. Order ID 4846. Delivery by 2013-02-21 17:15. Enjoy 5% discount on your next purchase. Code TRBDGV. T&C."
info,Aryan Auto Agency : Service of your car KA87A3626 is due in 38 days on 2011-02-01. Please contact us at 9161248828 to book a service.
info,Welcome to China Shipbuilding Industry R.No. 475 Ch.In 2014-11-11 13:31 Ch.out 2014-11-27 12:00.
ham,i will meet you on coming morning
info,"* KSRTC m-Ticket *  from: SRINGERI to: Pune PsngrName: Gabriel TripCode: 645SRIPun PNR No.: J26646664 JnyDate: 2015-08-17 DepTime: 6:45  SeatNo.: 32, 10, 49, 53, 54, 58  Class: AC chair  BoardingPt: SRINGERI Residency Road Txn Password: 3123 . Please carry your photo ID during journey. T&C apply. Visit  www.ksrtc.in"
info,"PNR:3753775534,TRAIN:23181,DOJ:2013-01-02,AC3,AAY-BGM,Dep:7:32, Josue,B6 70 , Fare:7027,SC:10.0+PG+INS"
ham,i will meet john adams in bangalore
ham,I have to catchup for dinner @ nite at his place
ham,lets meet 29th after diwali
info,"Repair ref.no for your car is JC53251731 opened on 2011-02-07 2:30hrs,ETD of your car is 2011-02-08 23:34hrs and est.repair amt is Rs.569 Rgds, True Value"
spam,Ur transaction on HDFC Bank CREDIT Card ending 7967 for Rs. 50.00 has been credited/reversed by GOOGLE *SERVICES on 2015-11-09:19:39:04
info,"[Cranks] Hi Joseph, your reservation is confirmed for 14 people on 2012-01-20 at 11:32. We can hold your table for a maximum of 38 mins."
info,Aryan Auto Agency : Service of your car KA17O3152 is due in 56 days on 2009-10-20. Please contact us at 9883247244 to book a service.
spam,"Roaming Info: Opt for International Roaming packs & enjoy unlimited free incoming calls, lots of data and free calls to India. Packs start at Rs.649. To activate, call 9380809983 (International Tollfree) or click www.airtel.in/ir (data charges apply). Now roam freely without fear of bill shocks."
ham,meeting is @ sharp 4am
spam,Delivered: Your package withZoook ZB-Rocker-2 Wireless Blue...was successfully delivered. More info at http://amazon.com/cBfWh1e
info,"* KSRTC m-Ticket *  from: KOLAR to: MANTRALAYA PsngrName: Steven TripCode: 2230KOLMAN PNR No.: J79219391 JnyDate: 2013-07-04 DepTime: 22:30  SeatNo.: 34, 35, 9, 48, 18, 20  Class: Non-AC chair  BoardingPt: KOLAR Rly Station Txn Password: 4434 . Please carry your photo ID during journey. T&C apply. Visit  www.ksrtc.in"
